unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte d' Horta-Guinardó,Serveis,22000521,2022,Manteniment d'equips audiovisuals,14507.9,2022-03-24,2022-12-31,SIOL TECNOLOGIA SL,B63916340
Gerència Medi Ambient i Serveis Urbans,Serveis,22000792,2022,campanya de motos,16692.43,2022-03-24,2022-12-31,"SM, SISTEMAS MEDIOAMBIENTALES,",B61461810
Gerència d'Area d'Ecologia Urbana,Serveis,22000834,2022,Suport anàlisi del manteniment d’espai públic,15444.0,2022-03-15,2022-12-31,"SM, SISTEMAS MEDIOAMBIENTALES,",B61461810
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000124,2022,Taxació local carrer Muntaner 196 – 198,1918.46,2022-01-19,2022-12-31,"SOCIEDAD DE TASACIÓN, S.A.",A28808145
Districte de Sarrià - Sant Gervasi,Subministraments,22000305,2022,Subministrament carburant calefacció CC L'Elèctric,3000.0,2022-01-31,2022-12-31,"SOCIETAT CATALANA DE PETROLIS,",A58415779
Districte de Ciutat Vella,Serveis,22000223,2022,Informació a comerços sobre obres de Via Laietana,17424.0,2022-01-26,2022-02-28,SOLUCIONS GEOGRAFIQUES SCCL,F66905183
Districte de Ciutat Vella,Serveis,22000472,2022,Comprovació i visualització d'HUT's i via publica,14000.0,2022-02-15,2022-12-31,SOLUCIONS GEOGRAFIQUES SCCL,F66905183
Gerència de Pressupostos i Hisenda,Serveis,22000591,2022,Servei GIS mapificació compres 2021,3509.0,,,SOLUCIONS GEOGRAFIQUES SCCL,F66905183
Districte de Ciutat Vella,Serveis,22000488,2022,Estudi viabilitat Via Laietana 8-10,17980.6,2022-02-16,2022-05-01,"SOMHABITAT, S.C.C.L.",F05387121
"Ger. Àrea Cultura, Educ., Ciència i Com.",Serveis,22000500,2022,Imatge de campanya Festa de la Ciència 2022,17847.5,2022-02-28,2022-07-15,"SOON IN TOKYO, S.L",B64961287
Districte de Les Corts,Subministraments,22000775,2022,Sanitaris portàtils activitats espai públic 22-23,13204.73,2022-03-23,2023-03-31,SOSANAT S.L.,B67036194
Districte de Ciutat Vella,Serveis,22000145,2022,Serv.suport implement act. Pla Acció Intercultural,9407.75,2022-01-19,2022-03-31,SPORA SINERGIES SCCL,F63912240
Districte de Sants-Montjuïc,Serveis,22001018,2022,Projecte Entrena al Parc,5852.8,2022-04-01,2022-12-31,STREETBALL BARCELONA SANTS,G65817967
Districte de Les Corts,Serveis,22000399,2022,Serveis Comunicació Accessible Les Corts 2022-23,18101.6,2022-02-09,2023-01-04,SUBTIL.COMINICACIO I ACCESIBIL,J64963390
Districte de Sarrià - Sant Gervasi,Serveis,22000679,2022,Accessibilitat comunicativa actes públics district,13079.0,2022-03-02,2022-12-31,SUBTIL.COMINICACIO I ACCESIBIL,J64963390
